ID,Year_Birth,Education,MaritalStatus,Income,Recency,NumWebPurchases,NumStorePurchases,NumWebVisitsMonth,Response
11082,1980,Graduation,Single,30828,16,1,4,3,0
11083,1964,Graduation,Married,42523,96,1,4,2,0
11084,1952,Graduation,Divorced,69142,50,8,7,5,0
11085,1971,Graduation,Married,70886,65,5,4,2,0
11086,1971,Graduation,Single,72258,28,6,5,2,0
11087,1990,Basic,Married,24279,6,4,3,8,0
11088,1974,Graduation,Married,44989,26,5,5,6,0
11089,1958,Graduation,Married,48192,76,2,12,8,1
11090,1971,PhD,Together,29732,23,2,2,9,0
11091,1949,Graduation,Divorced,49160,29,3,6,6,0
11092,1946,PhD,Single,82800,23,7,12,3,1
11093,1967,Graduation,Divorced,70647,65,4,13,2,0
11094,1976,Master,Single,70379,84,6,13,4,0
11095,1958,PhD,Divorced,32173,0,1,3,4,0
11096,1990,Basic,Married,24279,6,4,3,8,0
11097,1984,Graduation,Together,15345,51,1,2,8,1
11098,1983,PhD,Together,70123,27,5,4,3,0
11099,1993,Graduation,Single,74293,66,5,6,2,0
11100,1988,Graduation,Together,29604,88,1,3,9,0
11101,1971,PhD,Married,37126,9,1,2,6,1
11102,1969,PhD,Married,30396,22,1,2,7,1
11103,1976,2n Cycle,Together,75484,50,7,6,4,0
11104,1989,2n Cycle,Together,38683,80,4,6,7,0
11105,1970,2n Cycle,Married,62466,13,6,12,4,0
11106,1973,Graduation,Married,34961,77,3,3,7,0
11107,1983,Graduation,Married,30096,30,2,3,6,0
11108,1943,Master,Single,77598,53,7,13,3,0
11109,1971,Master,Single,39763,9,5,2,9,1
11110,1976,PhD,Married,49544,0,5,8,7,0
11111,1977,2n Cycle,Together,25315,46,3,3,8,0
11112,1987,Graduation,Together,67605,84,2,6,1,0
11113,1958,Basic,Single,15056,76,2,3,5,0
11114,1991,Graduation,Single,90273,32,5,7,2,1
11115,1961,PhD,Together,32583,10,1,2,7,0
11116,1984,Graduation,Single,36108,68,7,4,9,0
11117,1962,Master,Single,45183,33,4,7,7,0
11118,1966,PhD,Together,28764,16,1,2,8,0
11119,1979,Basic,Together,24594,94,1,3,5,0
11120,1950,2n Cycle,Together,52203,36,8,11,6,0
11121,1974,PhD,Divorced,25509,15,3,3,9,1
11122,1982,Graduation,Married,69109,10,6,7,4,1
11123,1966,Graduation,Single,43602,45,3,2,6,0
11124,1960,Graduation,Together,19740,65,1,3,5,0
11125,1984,Graduation,Married,38680,97,2,3,7,0
11126,1977,Graduation,Divorced,32952,36,2,3,7,0
11127,1981,Graduation,Divorced,56981,91,2,13,6,0
11128,1950,Graduation,Married,57045,40,4,9,3,0
11129,1961,Graduation,Married,60544,92,5,5,6,0
11130,1976,Graduation,Together,50200,70,7,5,8,0
11131,1988,2n Cycle,Married,15716,8,3,4,8,0
11132,1961,Basic,Married,28249,80,2,3,6,0
11133,1957,PhD,Married,37633,49,1,3,9,0
11134,1971,Master,Married,35178,10,1,2,7,1
11135,1961,PhD,Married,57072,79,7,13,5,0
11136,1967,Graduation,Divorced,70844,16,6,5,7,0
11137,1977,Master,Married,78710,42,7,12,4,0
11138,1985,Graduation,Single,66503,30,4,6,3,0
11139,1975,Graduation,Married,74190,49,4,11,2,0
11140,1955,Graduation,Together,38946,84,3,6,5,0
11141,1980,Basic,Married,25965,29,2,3,8,0
11142,1973,PhD,Married,32644,38,7,6,8,0
11143,1969,PhD,Together,42731,64,4,5,5,0
11144,1959,Graduation,Married,65492,73,4,13,2,0
11145,1968,PhD,Married,36778,63,3,3,9,0
11146,1961,Graduation,Together,64260,1,4,4,3,1
11147,1983,PhD,Single,87188,73,10,6,3,1
11148,1970,2n Cycle,Married,62466,13,6,12,4,0
11149,1971,Graduation,Single,22804,75,2,2,9,0
11150,1954,Graduation,Divorced,50002,21,8,7,7,0
11151,1961,Graduation,Single,45938,46,8,6,6,0
11152,1964,PhD,Married,60896,90,9,4,6,1
11153,1954,Graduation,Single,46344,38,1,2,5,0
11154,1948,PhD,Together,76140,57,5,6,2,0
11155,1987,Graduation,Married,75794,33,7,12,3,0
11156,1974,PhD,Married,46374,1,7,7,8,1
11157,1972,Graduation,Married,77981,78,7,7,5,0
11158,1968,Graduation,Together,34916,89,5,3,9,0
11159,1974,Graduation,Together,83145,14,5,11,2,1
11160,1981,PhD,Married,87171,27,6,11,2,0
11161,1965,Graduation,Together,52117,55,5,4,7,0
11162,1952,Graduation,Divorced,62335,87,3,13,2,0
11163,1966,Graduation,Together,82427,35,3,12,1,0
11164,1983,Graduation,Married,39922,30,3,4,8,0
11165,1956,Graduation,Married,71391,50,6,12,3,0
11166,1978,Graduation,Divorced,63693,63,11,9,6,0
11167,1985,Master,Married,19510,63,1,3,7,0
11168,1956,2n Cycle,Divorced,31395,80,2,3,6,0
11169,1977,Graduation,Married,74985,8,3,7,2,0
11170,1971,Graduation,Together,16626,76,3,3,9,0
11171,1954,Graduation,Married,80067,82,4,6,2,0
11172,1974,PhD,Married,61917,83,2,4,5,0
11173,1971,Graduation,Divorced,40851,63,1,2,7,0
11174,1975,Basic,Married,30801,23,1,3,7,0
11175,1956,Graduation,Together,54450,0,9,8,8,0
11176,1970,PhD,Single,32303,63,1,4,5,0
11177,1952,Graduation,Together,34074,69,3,3,6,0
11178,1966,PhD,Single,46734,86,3,3,6,0
11179,1950,PhD,Widow,76842,37,1,7,0,0
11180,1958,Graduation,Married,67267,0,3,5,2,0
11181,1978,Graduation,Married,57113,45,4,5,7,0
11182,1988,2n Cycle,Married,23331,92,3,3,8,0
11183,1975,Graduation,Married,23957,47,2,3,6,1
11184,1958,2n Cycle,Single,75342,38,5,10,4,0
11185,1957,Master,Together,68148,86,4,6,2,0
11186,1969,Graduation,Married,14045,24,1,3,7,0
11187,1950,PhD,Widow,56551,48,2,4,4,0
11188,1966,Graduation,Single,43602,45,3,2,6,0
11189,1960,Graduation,Together,63381,78,4,13,2,0
11190,1951,Master,Together,59385,85,3,4,5,0
11191,1978,Master,Together,85738,41,3,11,1,0
11192,1954,Graduation,Married,50501,10,5,4,6,1
11193,1964,Graduation,Married,42523,96,1,4,2,0
11194,1948,PhD,Together,46681,52,4,4,5,0
11195,1970,Master,Married,44159,85,4,6,5,0
11196,1983,Graduation,Together,36075,54,2,4,6,0
11197,1971,Graduation,Divorced,40851,63,1,2,7,0
11198,1978,2n Cycle,Single,36975,50,1,3,7,0
11199,1965,2n Cycle,Married,70924,41,6,7,3,0
11200,1972,Graduation,Single,24762,16,3,2,8,1
11201,1947,2n Cycle,Married,81044,0,5,10,1,0
11202,1975,PhD,Married,45503,54,3,4,5,0
11203,1971,Master,Single,36230,17,2,4,5,0
11204,1958,Basic,Single,15056,76,2,3,5,0
11205,1973,Graduation,Divorced,71128,80,2,12,7,0
11206,1955,PhD,Married,22554,38,2,4,5,0
11207,1960,Master,Married,54197,16,1,6,1,0
11208,1960,Graduation,Together,30507,29,5,4,7,0
11209,1975,Graduation,Married,37085,65,3,3,8,0
11210,1949,PhD,Together,67911,63,6,11,3,0
11211,1971,2n Cycle,Together,42033,95,1,2,7,0
11212,1960,Graduation,Together,70971,28,11,5,7,1
11213,1955,Graduation,Widow,79800,65,5,5,3,1
11214,1967,Graduation,Divorced,57136,18,7,7,6,1
11215,1948,Master,Widow,78427,36,3,10,3,1
11216,1958,Graduation,Married,51876,88,2,8,1,0
11217,1945,PhD,Married,65846,68,6,6,4,0
11218,1958,2n Cycle,Together,26490,92,3,5,6,0
11219,1977,Graduation,Divorced,32952,36,2,3,7,0
11220,1951,2n Cycle,Married,78497,44,5,12,2,0
11221,1990,Basic,Single,16185,71,2,2,8,0
11222,1985,PhD,Single,30298,48,1,3,3,0
11223,1965,PhD,Together,34230,72,1,2,7,0
11224,1983,Graduation,Married,39922,30,3,4,8,0
11225,1972,Graduation,Married,30675,14,1,3,8,0
11226,1965,Graduation,Married,59754,96,5,6,5,1
11227,1973,Basic,Together,9722,7,3,3,8,1
11228,1958,Master,Single,30523,0,1,2,7,0
11229,1960,Graduation,Together,44512,57,1,3,4,0
11230,1984,Graduation,Together,15345,51,1,2,8,1
11231,1971,Master,Together,157733,37,1,1,1,0
11232,1970,PhD,Together,65968,12,5,7,3,0
11233,1958,Graduation,Together,28087,77,2,2,7,0
11234,1965,PhD,Together,34230,72,1,2,7,0
11235,1979,Graduation,Single,57537,83,4,8,4,0
11236,1961,Graduation,Married,79410,19,3,5,1,0
11237,1991,PhD,Together,68682,56,4,10,2,0
11238,1956,2n Cycle,Divorced,31395,80,2,3,6,0
11239,1971,Graduation,Married,73691,58,6,8,2,0
11240,1982,2n Cycle,Together,66664,78,5,6,3,0
11241,1976,Master,Together,46106,84,1,2,6,0
11242,1971,PhD,Together,49269,92,7,12,7,0
11243,1965,Master,Single,33168,0,2,4,7,0
11244,1981,2n Cycle,Single,24336,82,1,2,7,0
11245,1969,Graduation,Married,56796,24,8,7,7,0
11246,1971,Master,Together,71499,12,8,13,4,0
11247,1981,2n Cycle,Together,75774,27,7,8,4,0
11248,1983,Graduation,Married,69520,95,9,5,5,0
11249,1978,Graduation,Together,42011,46,3,4,8,0
11250,1965,2n Cycle,Divorced,60161,17,11,8,8,0
11251,1957,PhD,Divorced,54237,48,5,5,6,0
11252,1955,PhD,Single,49667,35,5,5,8,1
11253,1971,Master,Single,36230,17,2,4,5,0
11254,1970,PhD,Together,65968,12,5,7,3,0
11255,1947,PhD,Together,73059,36,9,13,4,0
11256,1964,Graduation,Widow,85620,68,3,4,1,1
11257,1975,Graduation,Single,42160,26,2,4,6,1
11258,1980,Graduation,Married,41850,51,3,3,8,0
11259,1947,Master,Together,66000,36,1,5,1,0
11260,1968,Graduation,Single,35893,80,3,5,8,0
11261,1978,Graduation,Married,67023,93,3,13,2,0
11262,1971,PhD,Together,29732,23,2,2,9,0
11263,1961,Basic,Married,28249,80,2,3,6,0
11264,1949,Master,Married,62845,3,3,10,8,0
11265,1956,2n Cycle,Together,58821,44,9,9,6,0
11266,1976,PhD,Married,51650,81,4,4,5,0
11267,1973,Graduation,Widow,42429,99,1,3,5,0
11268,1960,Graduation,Together,78468,29,10,10,4,0
11269,1981,Master,Together,42021,34,10,6,9,0
11270,1961,Graduation,Married,49678,81,6,4,7,0
11271,1978,Basic,Together,24882,52,1,2,6,0
11272,1960,2n Cycle,Widow,46779,55,0,2,4,0
11273,1970,Graduation,Married,63684,61,8,8,5,0
11274,1971,Graduation,Single,26954,17,1,2,7,0
11275,1953,Master,Married,54348,51,2,4,6,0
11276,1951,Graduation,Widow,67046,92,4,4,2,0
11277,1982,2n Cycle,Together,58582,15,9,9,5,0
11278,1955,PhD,Married,38725,52,1,4,4,0
11279,1970,Graduation,Together,38200,19,1,2,7,0
11280,1959,2n Cycle,Married,26887,27,1,3,6,0
11281,1949,Graduation,Divorced,49160,29,3,6,6,0
11282,1976,Graduation,Married,13624,93,2,3,6,0
11283,1980,Master,Divorced,78789,12,4,5,2,1
11284,1952,PhD,Together,61010,57,8,11,5,0
11285,1953,PhD,Divorced,36957,43,3,2,9,1
11286,1972,Graduation,Together,31590,40,1,3,8,0
11287,1964,PhD,Married,31686,31,1,3,6,0
11288,1975,Master,Together,53253,61,4,5,5,0
11289,1984,PhD,Married,38175,6,3,4,7,0
11290,1967,Graduation,Divorced,76982,19,8,4,4,1
11291,1988,PhD,Married,67546,90,4,5,3,0
11292,1953,Master,Widow,84953,73,3,4,2,1
11293,1955,PhD,Together,46015,25,1,3,7,0
11294,1987,Graduation,Married,25545,35,2,3,6,1
11295,1960,Graduation,Together,19740,65,1,3,5,0
11296,1951,Master,Single,49389,55,2,3,7,0
11297,1967,Graduation,Together,65777,87,2,6,1,0
11298,1985,2n Cycle,Single,33812,86,2,3,6,0
11299,1980,2n Cycle,Together,14515,71,2,3,7,1
11300,1968,PhD,Together,40706,37,3,4,7,0
11301,1971,PhD,Married,60491,81,6,7,5,0
11302,1968,2n Cycle,Married,48985,13,1,3,3,0
11303,1971,Graduation,Together,71819,70,3,5,6,0
11304,1980,2n Cycle,Together,25130,10,2,3,7,0
11305,1968,Graduation,Married,63967,57,4,12,2,0
11306,1951,Graduation,Married,94642,35,5,9,1,0
11307,1966,PhD,Together,30843,43,1,2,5,0
11308,1957,Graduation,Widow,65486,29,4,10,2,0
11309,1981,Master,Married,36959,56,2,3,8,0
11310,1954,PhD,Married,57744,91,9,4,8,0
11311,1973,Graduation,Together,55593,63,6,3,6,0
11312,1984,Graduation,Together,35196,68,6,5,8,0
11313,1967,Graduation,Divorced,68743,81,11,13,7,0
11314,1980,Graduation,Divorced,81702,98,7,12,3,0
11315,1976,2n Cycle,Together,26907,10,1,3,7,0
11316,1973,PhD,Single,48432,3,7,6,8,1
11317,1981,PhD,Married,58293,94,5,6,5,0
11318,1966,Graduation,Single,86358,78,5,6,8,0
11319,1963,Graduation,Single,34377,55,2,2,7,0
11320,1972,Graduation,Married,33622,22,2,4,7,0
11321,1971,Master,Divorced,42835,64,6,4,6,0
11322,1972,2n Cycle,Married,24884,32,0,3,7,0
11323,1996,2n Cycle,Married,7500,24,3,3,9,1
11324,1970,Graduation,Married,72940,13,3,6,1,0
11325,1975,PhD,Single,52614,63,2,8,8,0
11326,1962,Graduation,Divorced,46102,3,1,2,7,0
11327,1952,2n Cycle,Divorced,63998,42,7,11,4,1
11328,1981,2n Cycle,Single,24336,82,1,2,7,0
11329,1955,PhD,Married,22554,38,2,4,5,0
11330,1953,Graduation,Together,61278,87,3,4,6,0
11331,1969,Graduation,Together,21918,37,2,3,6,0
11332,1976,PhD,Divorced,55412,65,2,3,5,0
11333,1966,Graduation,Together,37758,49,1,3,8,0
11334,1971,Graduation,Married,36715,16,7,4,9,1
11335,1971,2n Cycle,Married,54690,76,3,5,3,0
11336,1958,Graduation,Married,67267,0,3,5,2,0
11337,1953,PhD,Single,64108,8,6,11,5,0
11338,1970,Graduation,Married,90765,25,4,5,1,0
11339,1961,Graduation,Together,64260,1,4,4,3,1
11340,1943,PhD,Widow,57513,59,9,13,6,0
11341,1947,PhD,Married,67472,93,4,7,3,0
11342,1978,Graduation,Single,30168,51,6,4,9,0
11343,1989,PhD,Single,33996,46,1,3,4,0
11344,1971,Graduation,Married,36715,16,7,4,9,1
11345,1960,2n Cycle,Single,32218,27,2,3,7,1
11346,1964,Graduation,Married,48920,93,6,5,7,0
11347,1978,2n Cycle,Married,47025,98,11,6,9,0
11348,1989,Graduation,Married,37155,51,2,4,5,0
11349,1959,Graduation,Together,87771,61,5,4,6,1
11350,1974,Graduation,Married,60093,92,7,10,6,0
11351,1956,Graduation,Together,64090,8,6,4,5,1
11352,1972,Graduation,Together,77044,12,7,11,4,0
11353,1988,Master,Single,90247,27,3,7,1,1
11354,1970,2n Cycle,Married,23162,82,1,3,6,0
11355,1974,PhD,Married,45207,64,3,6,6,0
11356,1988,Graduation,Alone,34176,12,3,4,6,0
11357,1980,Graduation,Married,33228,28,2,3,7,0
11358,1978,Graduation,Together,75437,25,8,10,6,0
11359,1947,Master,Together,66000,36,1,5,1,0
11360,1959,Graduation,Together,71367,24,4,7,2,0
11361,1968,Graduation,Married,19514,47,3,2,8,0
11362,1971,Graduation,Married,35788,34,2,3,6,0
11363,1952,PhD,Together,85431,54,2,7,0,0
11364,1952,Graduation,Single,53700,94,5,8,5,0
11365,1971,Master,Single,36230,17,2,4,5,0
11366,1986,Graduation,Married,22518,36,2,2,5,1
11367,1963,2n Cycle,Single,39548,87,1,3,3,0
11368,1955,PhD,Married,59821,11,11,7,8,0
11369,1965,Master,Together,45143,74,6,5,7,0
11370,1971,Master,Single,39763,9,5,2,9,1
11371,1955,Graduation,Married,50737,61,2,4,6,0
11372,1949,Graduation,Together,54591,63,6,8,5,0
11373,1967,Graduation,Single,46904,20,5,4,8,0
11374,1976,PhD,Single,42473,72,2,4,5,0
11375,1969,PhD,Together,42731,64,4,5,5,0
11376,1951,Master,Married,59412,56,4,8,3,0
11377,1976,Graduation,Together,62061,12,10,7,6,0
11378,1975,Master,Single,81169,47,5,9,2,0
11379,1960,Graduation,Divorced,62204,38,4,12,3,0
11380,1968,Graduation,Married,64590,98,9,10,6,0
11381,1978,Graduation,Divorced,55563,22,2,3,3,0
11382,1972,PhD,Single,55260,81,8,5,6,0
11383,1954,Graduation,Together,32144,76,2,3,7,0
11384,1954,PhD,Married,65324,0,6,9,4,0
11385,1968,Graduation,Together,56534,35,10,7,8,1
11386,1947,PhD,Married,67472,93,4,7,3,0
11387,1950,PhD,Married,55517,53,11,6,9,1
11388,1965,Graduation,Married,59754,96,5,6,5,1
11389,1954,Graduation,Divorced,50002,21,8,7,7,0
11390,1971,Graduation,Single,22804,75,2,2,9,0
11391,1952,Graduation,Together,33402,60,2,3,8,0
11392,1969,Master,Widow,67369,81,7,10,4,1
11393,1992,Graduation,Single,83528,7,4,8,1,1
11394,1975,Master,Married,44319,18,2,3,5,0
11395,1976,Basic,Married,7500,59,2,3,8,0
11396,1947,PhD,Together,73059,36,9,13,4,0
11397,1969,Graduation,Married,80952,20,8,11,8,1
11398,1960,Graduation,Married,51651,32,6,5,8,0
11399,1967,Graduation,Together,54178,79,2,5,2,0
11400,1953,Graduation,Together,41452,86,1,2,7,0
11401,1952,PhD,Married,54549,8,5,4,7,0
11402,1994,Graduation,Together,80134,11,2,11,5,0
11403,1980,PhD,Married,43974,19,6,6,7,0
11404,1965,Master,Single,35791,94,1,3,8,0
11405,1959,2n Cycle,Divorced,78353,51,10,11,8,0
11406,1950,PhD,Widow,56551,48,2,4,4,0
11407,1962,Graduation,Married,55759,84,10,8,8,0
11408,1955,PhD,Married,66465,1,11,12,6,0
11409,1965,Master,Married,56962,60,6,5,7,0
11410,1974,Graduation,Married,26751,26,1,2,8,0
11411,1985,Graduation,Married,31158,62,2,3,8,0
11412,1954,PhD,Married,52869,40,3,4,7,1
11413,1973,Master,Divorced,52034,67,4,5,7,0
11414,1954,Graduation,Married,38998,92,2,3,8,0
11415,1965,Master,Married,56962,60,6,5,7,0
11416,1968,Graduation,Married,19514,47,3,2,8,0
11417,1957,Graduation,Married,23539,13,2,4,6,0
11418,1968,Graduation,Together,56534,35,10,7,8,1
11419,1970,PhD,Married,67353,37,5,12,2,0
11420,1957,Graduation,Widow,66033,76,8,7,7,0
11421,1976,Graduation,Together,21675,55,4,3,7,0
11422,1971,Master,Divorced,44635,25,2,3,7,0
11423,1978,PhD,Together,34043,97,2,2,9,0
11424,1961,Graduation,Single,82332,89,5,12,2,1
11425,1975,Master,Together,17459,12,3,2,7,1
11426,1971,Graduation,Divorced,29819,77,3,3,6,0
11427,1965,Master,Married,56962,60,6,5,7,0
11428,1958,Master,Single,75154,79,6,6,3,1
11429,1971,Graduation,Married,43824,18,3,4,8,0
11430,1961,Graduation,Single,45938,46,8,6,6,0
11431,1970,PhD,Single,57642,24,7,6,4,0
11432,1955,PhD,Married,59821,11,11,7,8,0
11433,1991,PhD,Together,68682,56,4,10,2,0
11434,1977,Graduation,Divorced,40246,68,1,2,6,0
11435,1952,Master,Together,43776,9,5,4,8,1
11436,1961,PhD,Together,32583,10,1,2,7,0
11437,1978,Graduation,Together,25851,45,2,3,7,0
11438,1974,Graduation,Single,49166,17,5,3,6,0
11439,1972,Master,Married,53761,7,4,3,5,0
11440,1974,PhD,Single,68352,47,8,9,6,0
11441,1972,PhD,Single,86857,96,5,10,2,1
11442,1991,PhD,Together,68682,56,4,10,2,0
11443,1988,Graduation,Together,87679,62,7,10,4,1
11444,1968,Graduation,Together,35322,34,2,4,8,0
11445,1987,PhD,Single,42000,23,5,11,5,1
11446,1964,2n Cycle,Divorced,41713,57,3,4,6,0
11447,1961,Graduation,Married,16860,19,1,3,7,0
11448,1965,Graduation,Together,36317,53,3,4,7,0
11449,1960,2n Cycle,Single,32218,27,2,3,7,1
11450,1976,Graduation,Married,46049,11,5,9,7,1
11451,1989,Graduation,Married,28691,56,1,3,8,0
11452,1978,Graduation,Married,66373,57,4,10,3,0
11453,1965,PhD,Married,62745,89,7,11,5,0
11454,1972,PhD,Together,83443,89,6,5,2,0
11455,1971,PhD,Single,42767,53,3,2,8,0
11456,1978,Graduation,Married,65819,99,5,10,3,0
11457,1969,Master,Married,70091,11,5,10,8,0
11458,1975,Graduation,Married,27573,45,5,4,8,0
11459,1969,Master,Widow,67369,81,7,10,4,1
11460,1948,PhD,Widow,82032,54,4,7,1,0
11461,1966,Basic,Together,22634,47,2,2,8,0
11462,1963,PhD,Together,33629,49,3,4,9,0
11463,1989,Graduation,Together,31928,5,3,4,7,0
11464,1977,Master,Married,27889,42,1,2,6,0
11465,1958,Graduation,Married,51876,88,2,8,1,0
11466,1970,Graduation,Single,27242,2,2,3,9,1
11467,1980,Graduation,Together,44964,35,1,3,8,0
11468,1951,Master,Single,58217,84,2,4,6,0
11469,1958,Master,Single,75154,79,6,6,3,1
11470,1944,Graduation,Married,65275,9,4,13,2,0
11471,1978,Graduation,Together,70440,49,5,7,3,0
11472,1981,PhD,Together,39665,97,4,3,7,0
11473,1978,2n Cycle,Single,52195,2,1,2,8,0
11474,1974,Basic,Married,18393,2,3,3,8,0
11475,1963,PhD,Single,23091,98,2,3,7,0
11476,1986,Graduation,Together,78394,13,4,5,2,1
11477,1966,Graduation,Together,37758,49,1,3,8,0
11478,1956,Master,Married,50965,87,10,5,8,0
11479,1976,Graduation,Married,5305,12,1,0,13,0
11480,1957,PhD,Married,,4,7,8,9,0
11481,1953,Graduation,Together,58398,44,5,8,4,0
11482,1969,PhD,Married,30396,22,1,2,7,1
11483,1973,Graduation,Widow,42429,99,1,3,5,0
11484,1970,Graduation,Married,50447,4,3,3,6,0
11485,1974,Graduation,Married,67445,63,9,12,6,0
11486,1969,Graduation,Married,80952,20,8,11,8,1
11487,1947,Master,Together,66000,36,1,5,1,0
11488,1971,Graduation,Married,36715,16,7,4,9,1
11489,1983,PhD,Married,23536,53,0,3,3,0
11490,1972,Graduation,Married,38988,90,5,6,8,0
11491,1958,PhD,Widow,80995,83,8,4,4,0
11492,1943,PhD,Divorced,48948,53,7,5,6,1
11493,1973,Graduation,Married,20895,24,2,3,9,0
11494,1990,Graduation,Single,96843,60,6,10,2,1
11495,1975,Graduation,Married,79205,73,6,4,4,1
11496,1964,PhD,Married,45759,13,2,3,7,0
11497,1956,Master,Together,50943,49,1,3,5,0
11498,1972,Graduation,Married,56721,64,4,5,6,0
11499,1958,2n Cycle,Together,53083,65,5,5,7,0
11500,1963,Graduation,Married,22419,74,3,2,8,0
11501,1993,Graduation,Single,74293,66,5,6,2,0
11502,1989,Basic,Married,25443,82,1,3,8,0
11503,1953,Master,Together,56129,65,6,10,4,0
11504,1963,Graduation,Married,,96,6,7,4,0
11505,1986,Basic,Married,20425,5,2,3,7,0
11506,1967,Graduation,Together,65777,87,2,6,1,0
11507,1979,Graduation,Married,58025,81,3,10,4,0
11508,1978,PhD,Married,72159,62,4,10,2,0
11509,1986,PhD,Together,91820,72,5,12,1,0
11510,1990,PhD,Married,74214,3,8,5,5,0
11511,1965,Graduation,Together,56046,9,10,8,8,1
11512,1978,Graduation,Divorced,63693,63,11,9,6,0
11513,1967,PhD,Married,77766,97,11,11,6,1
11514,1951,Master,Widow,73705,86,9,8,5,0
11515,1965,PhD,Married,69969,64,4,6,3,1
